Valid,flightID,ssn,role,rank,licence
True,1,1311772221,Cabincrew,Flight Attendant,N/A
True,1,1600904199,Cabincrew,Flight Service Manager,N/A
True,1,2410876598,Pilot,Copilot,NAFokkerF100
True,1,3002688722,Cabincrew,Flight Attendant,N/A
True,1,3003962187,Cabincrew,Flight Attendant,N/A
True,1,3009907461,Pilot,Captain,NAFokkerF100
True,2,0303758167,Cabincrew,Flight Service Manager,N/A
True,2,1103647756,Cabincrew,Flight Attendant,N/A
True,2,2211658134,Pilot,Copilot,NABAE146
True,2,2509913418,Cabincrew,Flight Attendant,N/A
True,2,2910858778,Pilot,Captain,NABAE146
True,3,0409907212,Cabincrew,Flight Attendant,N/A
True,3,2200763823,Cabincrew,Flight Service Manager,N/A
True,3,2706838569,Pilot,Captain,NAFokkerF100
True,3,2807755841,Cabincrew,Flight Attendant,N/A
True,4,1103912131,Cabincrew,Flight Attendant,N/A
True,4,1308941169,Cabincrew,Flight Service Manager,N/A
True,4,2209955782,Pilot,Captain,NABAE146
True,4,2504939263,Pilot,Copilot,NABAE146
True,4,2801645554,Cabincrew,Flight Attendant,N/A
True,5,0505942924,Cabincrew,Flight Attendant,N/A
True,5,1405853585,Cabincrew,Flight Service Manager,N/A
True,5,1501681497,Cabincrew,Flight Attendant,N/A
True,5,1811813379,Cabincrew,Flight Attendant,N/A
True,5,1900769521,Pilot,Copilot,NABAE146
True,5,2907675667,Pilot,Captain,NABAE146
True,6,0409858797,Cabincrew,Flight Service Manager,N/A
True,6,1107951952,Cabincrew,Flight Attendant,N/A
True,6,1110732819,Cabincrew,Flight Attendant,N/A
True,6,1309797899,Pilot,Captain,NAFokkerF28
True,6,2500812671,Pilot,Copilot,NAFokkerF28
True,6,2602806942,Cabincrew,Flight Attendant,N/A
