Valid,Past,flightID,departingFrom,arrivingAt,departure,arrival,aircraftID,captain,copilot
True,True,NA7299,LYR,KEF,2019-11-02T11:21:00,2019-11-02T15:21:00,TF-TYQ,3009907461,2410876598
True,True,NA5675,LYR,KEF,2019-11-04T10:32:00,2019-11-04T14:32:00,TF-XZR,2910858778,2211658134
True,True,NA6283,LYR,KEF,2019-11-06T10:39:00,2019-11-06T14:39:00,TF-XZR,2910858778,2211658134
True,True,NA5433,LYR,KEF,2019-11-08T11:35:00,2019-11-08T15:35:00,TF-IZE,2706838569,2410876598
True,True,NA3524,LYR,KEF,2019-11-10T11:18:00,2019-11-10T15:18:00,TF-EPG,2706838569,2410876598
True,True,NA4894,LYR,KEF,2019-11-12T11:20:00,2019-11-12T15:20:00,TF-LNQ,2209955782,2504939263
True,True,NA3311,LYR,KEF,2019-11-14T10:18:00,2019-11-14T14:18:00,TF-IZE,2706838569,2410876598
True,True,NA1477,LYR,KEF,2019-11-16T11:21:00,2019-11-16T15:21:00,TF-EPG,3009907461,2410876598
True,True,NA2397,LYR,KEF,2019-11-18T10:25:00,2019-11-18T14:25:00,TF-XZM,2910858778,1900769521
True,True,NA4523,LYR,KEF,2019-11-20T11:40:00,2019-11-20T15:40:00,TF-LNQ,2209955782,1900769521
True,True,NA8224,LYR,KEF,2019-11-22T11:23:00,2019-11-22T15:23:00,TF-XZR,2910858778,2504939263
True,True,NA7316,LYR,KEF,2019-11-24T11:37:00,2019-11-24T15:37:00,TF-XUP,2706838569,2410876598
True,True,NA9556,LYR,KEF,2019-11-26T11:25:00,2019-11-26T15:25:00,TF-TYQ,2706838569,2410876598
True,True,NA1914,LYR,KEF,2019-11-28T11:25:00,2019-11-28T15:25:00,TF-LNQ,2907675667,2211658134
True,True,NA1179,LYR,KEF,2019-11-30T10:23:00,2019-11-30T14:23:00,TF-IZE,2706838569,2410876598
True,True,NA2934,GOH,KEF,2019-11-08T14:31:00,2019-11-08T17:31:00,TF-XZM,2907675667,1900769521
True,True,NA4165,GOH,KEF,2019-11-12T14:45:00,2019-11-12T17:45:00,TF-XZR,2907675667,2211658134
True,True,NA5486,GOH,KEF,2019-11-20T14:24:00,2019-11-20T17:24:00,TF-XUP,2706838569,2410876598
True,True,NA9957,GOH,KEF,2019-11-24T14:43:00,2019-11-24T17:43:00,TF-XZR,2209955782,2211658134
True,True,NA5664,GOH,KEF,2019-11-28T13:18:00,2019-11-28T16:18:00,TF-EPG,2706838569,2410876598
True,True,NA9242,KUS,KEF,2019-11-06T17:31:00,2019-11-06T19:31:00,TF-UVR,1309797899,2500812671
True,True,NA3556,KUS,KEF,2019-11-30T16:22:00,2019-11-30T18:22:00,TF-XZM,2910858778,2211658134
True,True,NA1889,FAE,KEF,2019-11-18T02:00:00,2019-11-18T03:00:00,TF-LNQ,2209955782,2504939263
True,True,NA9311,FAE,KEF,2019-11-30T02:00:00,2019-11-30T03:00:00,TF-UVR,1309797899,1309927223
True,True,NA8226,LWK,KEF,2019-11-06T03:00:00,2019-11-06T05:00:00,TF-TYQ,3009907461,2410876598
True,True,NA6839,LWK,KEF,2019-11-24T03:00:00,2019-11-24T05:00:00,TF-PGK,2907675667,1900769521
True,False,NA3525,LYR,KEF,2019-12-20T11:45:00,2019-12-20T15:45:00,,,
True,False,NA9997,LYR,KEF,2019-12-22T11:16:00,2019-12-22T15:16:00,,,
True,False,NA2581,GOH,KEF,2019-12-21T10:21:00,2019-12-21T13:21:00,,,
True,False,NA6251,GOH,KEF,2019-12-24T09:24:00,2019-12-24T12:24:00,,,
True,False,NA6974,KUS,KEF,2019-12-20T09:27:00,2019-12-20T11:27:00,,,
True,False,NA2312,KUS,KEF,2019-12-24T09:15:00,2019-12-24T11:15:00,,,
True,False,NA5319,FAE,KEF,2019-12-24T11:18:00,2019-12-24T12:18:00,,,
True,False,NA8669,FAE,KEF,2019-12-26T11:27:00,2019-12-26T12:27:00,,,
True,False,NA7661,LWK,KEF,2019-12-21T13:23:00,2019-12-21T15:23:00,,,
True,False,NA4579,LWK,KEF,2019-12-24T12:39:00,2019-12-24T14:39:00,,,
True,False,NA7489,LWK,KEF,2019-12-27T12:40:00,2019-12-27T14:40:00,,,
