valid,flightID,ssn,role,rank
True,1,1311772221,Flugþjónn,Flugþjónn
True,1,1600904199,Flugþjónn,Yfirflugþjónn
True,1,2410876598,Flugmaður,Aðstoðarflugmaður
True,1,3002688722,Flugþjónn,Flugþjónn
True,1,3003962187,Flugþjónn,Flugþjónn
True,1,3009907461,Flugmaður,Yfirflugmaður
True,2,0303758167,Flugþjónn,Yfirflugþjónn
True,2,1103647756,Flugþjónn,Flugþjónn
True,2,2211658134,Flugmaður,Aðstoðarflugmaður
True,2,2509913418,Flugþjónn,Flugþjónn
True,2,2910858778,Flugmaður,Yfirflugmaður
True,3,0409907212,Flugþjónn,Flugþjónn
True,3,2200763823,Flugþjónn,Yfirflugþjónn
True,3,2706838569,Flugmaður,Yfirflugmaður
True,3,2807755841,Flugþjónn,Flugþjónn
True,4,1103912131,Flugþjónn,Flugþjónn
True,4,1308941169,Flugþjónn,Yfirflugþjónn
True,4,2209955782,Flugmaður,Yfirflugmaður
True,4,2504939263,Flugmaður,Aðstoðarflugmaður
True,4,2801645554,Flugþjónn,Flugþjónn
True,5,0505942924,Flugþjónn,Flugþjónn
True,5,1405853585,Flugþjónn,Yfirflugþjónn
True,5,1501681497,Flugþjónn,Flugþjónn
True,5,1811813379,Flugþjónn,Flugþjónn
True,5,1900769521,Flugmaður,Aðstoðarflugmaður
True,5,2907675667,Flugmaður,Yfirflugmaður
True,6,0409858797,Flugþjónn,Yfirflugþjónn
True,6,1107951952,Flugþjónn,Flugþjónn
True,6,1110732819,Flugþjónn,Flugþjónn
True,6,1309797899,Flugmaður,Yfirflugmaður
True,6,2500812671,Flugmaður,Aðstoðarflugmaður
True,6,2602806942,Flugþjónn,Flugþjónn
True,75,2910992039,Flugmaður,Yfirflugmaður
True,75,0502993339,Flugþjónn,Yfirflugþjónn
True,75,0505012030,Flugmaður,Aðstoðarflugmaður
True,75,0707974449,Flugþjónn,Flugþjónn
False,77,0502993339,Flugþjónn,Yfirflugþjónn
False,77,2910992039,Flugmaður,Yfirflugmaður
False,77,0707974449,Flugþjónn,Flugþjónn
False,77,0505012030,Flugmaður,Aðstoðarflugmaður
False,87,2010704039,Flugmaður,Yfirflugmaður
True,87,0502993339,Flugþjónn,Yfirflugþjónn
True,87,2910992039,Flugmaður,Yfirflugmaður
True,87,0505012030,Flugmaður,Aðstoðarflugmaður
True,87,0707974449,Flugþjónn,Flugþjónn
